순위,시도코드,시군구코드,관심지점아이디,관심지점명,주소도로명,티맵카테고리중분류코드,티맵카테고리중분류명,연령대,세대검색건수,세대검색건수(합),비율
1,41,41461,387701,에버랜드,경기 용인시 처인구 에버랜드로 199-0,4,레저/스포츠,전체,589238,2634111,22.4
2,11,11680,187757,코엑스,서울 강남구 영동대로 513-0,7,문화생활시설,전체,428975,2634111,16.3
3,41,41287,729930,킨텍스제1전시장,경기 고양시 일산서구 킨텍스로 217-60,7,문화생활시설,전체,253286,2634111,9.6
4,11,11560,189326,여의도한강공원,서울 영등포구 여의동로 330-0,2,관광명소,전체,228000,2634111,8.7
5,11,11710,187961,롯데월드잠실점,서울 송파구 올림픽로 240-0,4,레저/스포츠,전체,218852,2634111,8.3
6,28,28110,152299,월미도,인천 중구,2,관광명소,전체,195009,2634111,7.4
7,28,28110,401535,을왕리해수욕장,인천 중구 용유서로302번길 16-15,2,관광명소,전체,187912,2634111,7.1
8,51,51210,368880,속초해변,강원 속초시 해오름로 186-0,2,관광명소,전체,182419,2634111,6.9
9,41,41290,381867,서울대공원,경기 과천시 대공원광장로 102-0,4,레저/스포츠,전체,177950,2634111,6.8
10,11,11215,182018,어린이대공원,서울 광진구 능동로 216-0,4,레저/스포츠,전체,172470,2634111,6.5
